Track _Name,Cup,Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider,
Mario_Kart_Stadium,Mushroom ,Pre-release,"1'42""184",Crazykonga,France,<1,35.143,33.699,33.342,7/3/2000,1/1/2001,Dry Bowser,Wild Wiggler,Slim,Super Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2017,"1'41""980",K4I,Japan,<1,35.133,33.583,33.264,7/3/2000,1/1/2001,Dry Bowser,W 25 Silver Arrow,Slim,Super Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2017,"1'41""833",あお,Japan,<1,35.144,33.476,33.213,7/3/2000,1/1/2001,Morton,Pipe Frame,Slim,Super Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2017,"1'41""673",K4I,Japan,<1,35.107,33.487,33.079,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Super Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2017,"1'41""644",Danny,Netherlands,<1,35.106,33.375,33.163,7/3/2000,1/1/2001,Dry Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2017,"1'41""540",Mon,Japan,<1,35.039,33.388,33.113,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2017,"1'41""415",Danny,Netherlands,1,34.989,33.351,33.075,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/29/2017,"1'41""365",あお,Japan,<1,34.946,33.366,33.053,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/29/2017,"1'41""351",Pyrax,France,<1,35.019,33.413,32.919,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/29/2017,"1'41""287",Pyrax,France,<1,34.956,33.361,32.97,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/29/2017,"1'41""255",Pyrax,France,<1,-,-,-,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/29/2017,"1'41""246",Pyrax,France,1,34.946,33.344,32.956,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,4/30/2017,"1'41""127",Pyrax,France,1,34.907,33.314,32.906,7/3/2000,1/1/2001,Bowser,Splat Buggy,Slim,Plane Glider,
Mario_Kart_Stadium,Mushroom ,5/1/2017,"1'41""121",kitto,Japan,<1,34.889,33.11,33.122,7/3/2000,1/1/2001,Wario,Pipe Frame,Leaf Tires,Cloud Glider,
Mario_Kart_Stadium,Mushroom ,5/1/2017,"1'41""052",kitto,Japan,<1,-,-,-,7/3/2000,1/1/2001,Wario,Pipe Frame,Leaf Tires,Cloud Glider,
Mario_Kart_Stadium,Mushroom ,5/1/2017,"1'40""852",Paco,Spain,1,34.772,33.11,32.97,7/3/2000,1/1/2001,Bowser,Wild Wiggler,Leaf Tires,Plane Glider,
Mario_Kart_Stadium,Mushroom ,5/2/2017,"1'40""517",SuperFX,USA,1,34.682,33.061,32.774,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Flower Glider,
Mario_Kart_Stadium,Mushroom ,5/3/2017,"1'40""433",SuperFX,USA,<1,34.685,32.863,32.885,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/3/2017,"1'40""201",SuperFX,USA,1,34.732,32.84,32.629,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/4/2017,"1'40""121",SuperFX,USA,1,34.579,33.03,32.512,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/5/2017,"1'39""997",SuperFX,USA,1,34.563,32.915,32.519,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/6/2017,"1'39""982",SuperFX,USA,1,34.498,32.931,32.553,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/7/2017,"1'39""929",SuperFX,USA,<1,34.51,32.919,32.5,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/7/2017,"1'39""843",SuperFX,USA,4,34.485,32.884,32.474,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/11/2017,"1'39""596",SuperFX,USA,1,34.443,32.759,32.394,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/12/2017,"1'39""443",SuperFX,USA,1,34.393,32.685,32.365,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/13/2017,"1'39""317",SuperFX,USA,<1,34.247,32.835,32.235,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/13/2017,"1'39""163",SuperFX,USA,7,34.292,32.578,32.293,7/3/2000,1/1/2001,Dry Bowser,Blue Falcon,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/20/2017,"1'39""036",SuperFX,USA,<1,34.154,32.587,32.295,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/20/2017,"1'39""008",SuperFX,USA,2,34.205,32.637,32.166,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/22/2017,"1'38""833",SuperFX,USA,28,34.131,32.461,32.241,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,6/19/2017,"1'38""723",SuperFX,USA,10,34.083,32.641,31.999,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,6/29/2017,"1'38""695",SuperFX,USA,1,34.108,32.483,32.104,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,6/30/2017,"1'38""553",SuperFX,USA,16,34.075,32.457,32.021,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,7/16/2017,"1'38""487",SuperFX,USA,8,34.029,32.33,32.128,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,7/24/2017,"1'38""306",SuperFX,USA,63,33.984,32.393,31.929,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,9/25/2017,"1'38""272",SuperFX,USA,77,34.003,32.451,31.818,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,12/11/2017,"1'38""232",SuperFX,USA,195,33.973,32.307,31.952,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,6/24/2018,"1'38""154",SuperFX,USA,302,33.964,32.289,31.901,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,4/22/2019,"1'38""143",SuperFX,USA,3,33.973,32.243,31.927,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,4/25/2019,"1'38""064",SuperFX,USA,2,33.993,32.237,31.834,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,4/27/2019,"1'38""047",SuperFX,USA,1,33.981,32.216,31.85,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2019,"1'38""034",SuperFX,USA,<1,33.984,32.204,31.846,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,4/28/2019,"1'37""993",SuperFX,USA,458,33.955,32.25,31.788,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,7/29/2020,"1'37""807 ",なすの,Japan,11,33.929,32.342,31.536,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,8/9/2020,"1'37""779 ",クローリン,Japan,3,34.186,31.819,31.774,8/1/2001,1/1/2001,Heavy Mii,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,8/12/2020,"1'37""595 ",Ronny,Japan,<1,34.176,31.793,31.626,8/1/2001,1/1/2001,Wario,Mach 8,Leaf Tires,Parachute,
Mario_Kart_Stadium,Mushroom ,8/12/2020,"1'37""515 ",Ronny,Japan,31,34.284,31.696,31.535,8/1/2001,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,9/12/2020,"1'37""077 ",Ronny,Japan,<1,33.652,31.823,31.602,8/1/2001,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,9/12/2020,"1'36""951 ",Ronny,Japan,3,33.648,31.822,31.481,8/1/2001,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,9/15/2020,"1'36""871 ",Ronny,Japan,1,33.544,31.826,31.501,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,9/16/2020,"1'36""711 ",Ronny,Japan,3,33.397,31.769,31.545,7/3/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,9/19/2020,"1'36""609 ",Ronny,Japan,1,33.588,31.608,31.413,8/1/2001,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,9/20/2020,"1'36""584 ",Ronny,Japan,12,33.565,31.567,31.452,8/1/2001,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Paper Glider,
Mario_Kart_Stadium,Mushroom ,10/2/2020,"1'35""807 ",Ronny,Japan,1,33.358,31.388,31.061,8/2/2000,1/1/2001,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider,
Mario_Kart_Stadium,Mushroom ,10/3/2020,"1'35""716 ",Army,France,1,33.376,31.311,31.029,7/3/2000,1/1/2001,Wario,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,10/4/2020,"1'35""667 ",Ronny,Japan,3,33.307,31.231,31.129,8/2/2000,1/1/2001,Wario,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,10/7/2020,"1'35""588 ",Ronny,Japan,106,33.319,31.186,31.083,8/2/2000,1/1/2001,Wario,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,1/21/2021,"1'35""293 ",なすの,Japan,196,33.255,31.026,31.012,8/2/2000,1/1/2001,Wario,Wild Wiggler,Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,8/5/2021,"1'35""258 ",Alberto,Spain,1,33.236,31.069,30.953,8/2/2000,1/1/2001,Dry Bowser,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,8/6/2021,"1'35""118 ",Alberto,Spain,151,33.148,31.074,30.896,8/2/2000,1/1/2001,Dry Bowser,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,1/4/2022,"1'34""957 ",Byron,Australia,14,33.024,31.039,30.894,8/2/2000,1/1/2001,Waluigi,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,1/18/2022,"1'34""935 ",Byron,Australia,3,33.031,31.133,30.771,8/2/2000,1/1/2001,Donkey Kong,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,1/21/2022,"1'34""870 ",Byron,Australia,9,33.042,30.975,30.853,8/2/2000,1/1/2001,Donkey Kong,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,1/30/2022,"1'34""869 ",Byron,Australia,3,33.037,30.958,30.874,8/2/2000,1/1/2001,Donkey Kong,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,2/2/2022,"1'34""804 ",Byron,Australia,6,32.97,31.016,30.818,8/2/2000,1/1/2001,Roy,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,2/8/2022,"1'34""786 ",Byron,Australia,3,33.018,30.949,30.819,8/2/2000,1/1/2001,Roy,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,2/11/2022,"1'34""778 ",Byron,Australia,94,33.026,30.943,30.809,8/2/2000,1/1/2001,Roy,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/16/2022,"1'34""740 ",Byron,Australia,<1,33.07,30.917,30.753,8/2/2000,1/1/2001,Roy,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,5/16/2022,"1'34""737 ",Byron,Australia,51,33.066,30.901,30.77,8/2/2000,1/1/2001,Roy,Wild Wiggler,Azure Roller,Flower Glider,
Mario_Kart_Stadium,Mushroom ,7/6/2022,"1'34""712 ",Byron,Australia,191,33.047,30.906,30.759,8/2/2000,1/1/2001,Roy,Wild Wiggler,Azure Roller,Paper Glider,
Mario_Kart_Stadium,Mushroom ,1/13/2023,"1'34""653 ",Byron,Australia,<1,33.067,30.87,30.716,8/2/2000,1/1/2001,Waluigi,Wild Wiggler,Azure Roller,Flower Glider,
Mario_Kart_Stadium,Mushroom ,1/13/2023,"1'34""636 ",Byron,Australia,55,33.04,30.884,30.712,8/2/2000,1/1/2001,Waluigi,Wild Wiggler,Azure Roller,Flower Glider,
Mario_Kart_Stadium,Mushroom ,3/9/2023,Version 2.3.0 Stat Balance Patch Released. More Info,,,,,,,,,,,,,
Mario_Kart_Stadium,Mushroom ,3/9/2023,"1'34""555 ",Byron,Australia,<1,32.908,30.859,30.788,8/2/2000,1/1/2001,King Boo,Cat Cruiser,Cushion,Paper Glider,
Mario_Kart_Stadium,Mushroom ,3/9/2023,"1'34""503 ",Byron,Australia,49,32.925,30.88,30.698,8/2/2000,1/1/2001,Link,Cat Cruiser,Cushion,Paper Glider,
Mario_Kart_Stadium,Mushroom ,4/27/2023,"1'34""390 ",Byron,Australia,2,32.872,30.809,30.709,8/2/2000,1/1/2001,Rosalina,Cat Cruiser,Cushion,Paper Glider,
Mario_Kart_Stadium,Mushroom ,4/29/2023,"1'34""359 ",Byron,Australia,95,32.853,30.834,30.672,8/2/2000,1/1/2001,King Boo,Cat Cruiser,Cushion,Paper Glider,
Mario_Kart_Stadium,Mushroom ,7/12/2023,Version 2.4.0 Stat Balance Patch Released. More Info,,,,,,,,,,,,,
Mario_Kart_Stadium,Mushroom ,8/2/2023,"1'34""357 ",Byron,Australia,67,32.925,30.769,30.663,8/2/2000,1/1/2001,Rosalina,Cat Cruiser,Cushion,Paper Glider,
Mario_Kart_Stadium,Mushroom ,10/8/2023,"1'34""345 ",かたゆ,Japan,6,32.87,30.844,30.631,8/2/2000,1/1/2001,Rosalina,Cat Cruiser,Cushion,Paper Glider,
Mario_Kart_Stadium,Mushroom ,10/14/2023,"1'34""288 ",Byron,Australia,69,32.802,30.799,30.687,8/2/2000,1/1/2001,King Boo,Cat Cruiser,Cushion,Paper Glider,
